Image,Transformation,Encoding,QuantizationFactor,WindowSize,OriginalSize,CompressedSize,CompressionRate,PSNR
./img/bird.ppm,DCT,RLE,10,0,24883217,184937,134.55,25.14
./img/bird.ppm,DCT,RLE,20,0,24883217,275829,90.21,28.40
./img/bird.ppm,DCT,RLE,30,0,24883217,348010,71.50,30.55
./img/bird.ppm,DCT,RLE,40,0,24883217,407934,61.00,31.62
./img/bird.ppm,DCT,RLE,50,0,24883217,465797,53.42,32.50
./img/bird.ppm,DCT,RLE,60,0,24883217,527259,47.19,33.37
./img/bird.ppm,DCT,RLE,70,0,24883217,630771,39.45,34.10
./img/bird.ppm,DCT,RLE,80,0,24883217,839444,29.64,35.10
./img/bird.ppm,DCT,RLE,90,0,24883217,1461138,17.03,36.33
./img/bird.ppm,DCT,RLE,100,0,24883217,4745321,5.24,39.36
./img/bird.ppm,DCT,LZ77,10,5,24883217,454675,54.73,25.14
./img/bird.ppm,DCT,LZ77,20,5,24883217,552464,45.04,28.40
./img/bird.ppm,DCT,LZ77,30,5,24883217,636182,39.11,30.55
./img/bird.ppm,DCT,LZ77,40,5,24883217,706793,35.21,31.62
./img/bird.ppm,DCT,LZ77,50,5,24883217,774877,32.11,32.50
./img/bird.ppm,DCT,LZ77,60,5,24883217,848628,29.32,33.37
./img/bird.ppm,DCT,LZ77,70,5,24883217,974066,25.55,34.10
./img/bird.ppm,DCT,LZ77,80,5,24883217,1233015,20.18,35.10
./img/bird.ppm,DCT,LZ77,90,5,24883217,2054636,12.11,36.33
./img/bird.ppm,DCT,LZ77,100,5,24883217,5895364,4.22,39.36
./img/bird.ppm,DCT,LZ77,10,10,24883217,344305,72.27,25.14
./img/bird.ppm,DCT,LZ77,20,10,24883217,463531,53.68,28.40
./img/bird.ppm,DCT,LZ77,30,10,24883217,561483,44.32,30.55
./img/bird.ppm,DCT,LZ77,40,10,24883217,641141,38.81,31.62
./img/bird.ppm,DCT,LZ77,50,10,24883217,719036,34.61,32.50
./img/bird.ppm,DCT,LZ77,60,10,24883217,802497,31.01,33.37
